the :43552
to :30250
in :19641
and :19102
of :15481
a :13272
on :7481
be :7328
are :6334
London :5902
as :5896
with :5849
is :5624
was :5440
that :5386
for :5366
The :5166
have :4765
this :4764
will :4337
cases :4178
has :4177
schools :4022
at :3853
into :3606
said :3531
3 :3501
from :3441
not :3258
Moon :3220
were :3129
today :3125
Tier :2961
health :2804
would :2777
after :2775
MPs :2774
over :2668
told :2587
Khan :2587
capital :2425
could :2421
an :2421
it :2342
they :2238
but :2156
up :2125
first :2124
Houllier :2106
off :2098
he :2076
early :2050
open :2050
close :2050
them :2021
Covid :1967
And :1966
which :1963
probe :1932
lunar :1932
surface :1932
1 :1917
been :1885
7 :1859
December :1834
Mr :1833
few :1831
days :1806
s :1804
China's :1771
also :1724
if :1724
space :1719
2020 :1670
Liverpool :1647
areas :1618
Hancock :1614
samples :1610
Christmas :1590
see :1586
last :1564
you :1557
its :1557
10 :1536
restrictions :1481
8 :1449
against :1430
Street :1429
support :1429
by :1427
19 :1402
latest :1399
set :1398
He :1351
14 :1348
A :1346
back :1345
about :1343
surge :1320
I :1242
more :1238
Matt :1237
their :1214
Johnson :1213
ministers :1212
there :1185
before :1185
side :1185
colleges :1161
morning :1158
But :1132
virus :1132
It :1131
already :1131
coronavirus :1131
your :1127
Instagram :1127
stay :1106
all :1106
keep :1106
down :1105
our :1104
now :1103
kids :1080
learning :1080
his :1079
measures :1078
warned :1078
do :1076
one :1076
or :1074
had :1050
across :1050
restaurants :1050
pubs :1050
extra :1026
people :1026
Gerard :1026
led :1025
comes :1024
week :1022
during :1021
seen :1021
League :999
who :999
called :997
take :995
him :972
online :972
closed :972
vs :972
must :971
later :971
out :971
London's :969
plans :968
Messenger :966
Mode :966
mission :966
Chinese :966
2 :943
per :943
tougher :942
bosses :942
school :918
yet :916
needed :916
Mayor :916
should :916
possible :915
give :915
my :891
January :889
Downing :889
Sun :887
Cup :864
Chelsea :863
being :863
until :863
expected :863
another :863
need :861
It's :860
then :860
Government :837
face :837
move :837
Greenwich :836
remain :836
Thursday :834
can :834
Madrid :810
end :810
4 :809
O :809
shops :809
City :809
other :808
Boris :808
